Id;Nome;Latitude;Longitude
9490;Moedinha;-20,193;-44,022
8872;Moedinha BH;-20,1954;-43,9789
9877;Moedão-Topo do mundo;-20,2067;-43,9905
11264;Monte Castelo;-20,4915;-41,8532
11702;Monte Sião Morro do Macaco;-22,3949;-46,5612
9757;Monte verde;-22,8844;-46,0414
9742;Montes Claros - Codorna;-16,8225;-43,8614
11448;Moreira;-22,0053;-44,864
8950;Morrinho "N";-20,2285;-43,9347
9899;Morrinho da escolinha;-22,5397;-45,7696
9569;Morrinho do Lei;-20,7568;-45,8639
10439;Morro da Antena;-20,4759;-45,4484
10979;Morro da Laje;-20,3137;-47,1367
10449;Morro da Torre;-18,7866;-42,9238
11836;Morro da bela vista - Nepomuceno;-21,1287;-45,3603
11036;Morro das Lavadeiras ;-19,4954;-42,5801
8920;Morro das Tormentas;-20,9902;-46,1024
9467;Morro das Torres Salinas;-16,1616;-42,2642
11614;Morro de Caxambu;-21,9801;-44,9402
9294;Morro de Santa Luzia;-20,4626;-45,4071
10576;Morro do Báu;-20,8967;-46,9569
10961;Morro do Cavalo;-20,4087;-47,2281
10551;Morro do Chapéu - Escarpas do Lago;-20,6576;-46,0302
10332;Morro do Cinturão Verde;-21,7234;-45,2215
11454;Morro do Cruzeiro;-21,7524;-45,2372
9362;Morro do Cruzeiro-Pimenta;-20,5441;-45,901
11738;Morro do Inhambu;-20,4034;-45,1403
9186;Morro do Salto (Pico do Ézio);-22,8176;-46,2499
9966;Morro do papai;-16,4064;-43,7473
11974;Morrote (Guarará);-21,7341;-43,0328
12033;PEDRA AGUDA;-22,4761;-45,4464
9586;PEDRA ITAÚNA;-19,7931;-42,1245
10006;PESQUEIRO DO PAÇOQUINHA;-22,1467;-46,0008
11283;PICO DO IBITURUNA;-19,0479;-42,0102
9432;PIRACAIBA RAMPA NORTE;-18,4473;-48,4201
11138;Palmital ;-18,6194;-41,42
11332;Paredão da Mata  ;-20,5102;-46,9906
10689;Parque do Sagui;-20,3546;-42,0153
12000;Parque municipal D, Ziza Pains MG;-20,3768;-45,6602
9922;Passa Quatro;-22,4088;-44,9331
11092;Pastor José Debossan;-20,6694;-42,1756
9865;Patos de Minas - PM Rodoviaria;-18,574;-46,4399
10158;Patrocinio-MG;-18,8372;-46,9967
11770;Patrocínio;-18,9268;-47,0062
10359;Patrocínio - MG;-18,9102;-47,0028
10983;Patrocínio -mg;-18,9476;-47,0081
9859;Pedra Bela Vista;-22,3755;-46,4768
10374;Pedra Grande;-20,1157;-44,3524
9671;Pedra Preta;-22,2516;-45,2471
9712;Pedra da Baleia;-17,8202;-41,0026
11100;Pedra da Lajinha;-17,9968;-41,5644
9461;Pedra do Calhau;-20,2712;-44,724
12026;Penha Longa;-22,0332;-43,083
10860;Pico Campo do Muro;-22,4195;-44,9156
11518;Pico da Cascavel;-22,7547;-46,2851
11519;Pico da Cascavel;-22,7796;-46,2157
11861;Pico da antena Olegário Maciel- MG;-22,3279;-45,5829
9915;Pico das Águias;-19,1827;-41,842
9914;Pico das Águias;-19,1825;-41,8424
9429;Pico de Ibituruna;-18,9059;-41,9191
9428;Pico de Ibituruna;-18,8757;-41,9269
9856;Pico de Ibituruna;-18,9433;-41,9428
8968;Pico do Gaviao;-22,0208;-46,6172
9513;Pico do Gaviao;-22,0697;-46,443
9014;Pico do Gaviao;-22,3324;-46,6279
9663;Pico do Gaviao;-22,0249;-46,626
8898;Pico do Gaviao;-22,0213;-46,6363
9440;Pico do Gaviao;-22,0378;-46,6094
9642;Pico do Gaviao;-22,0512;-46,5968
9337;Pico do Gaviao;-22,0402;-46,6329
10722;Pico do Gaviao;-22,0581;-46,6216
9491;Pico do Gaviao;-22,0369;-46,5994
8828;Pico do Gaviao;-22,0158;-46,6272
9177;Pico do Gaviao;-22,052;-46,645
11551;Pico do Gaviao - BR;-22,0617;-46,6524
8832;Pico do Ibituruna;-18,9016;-41,9346
8833;Pico do Ibituruna;-18,8864;-41,915
11457;Pico do Lobo Guara;-22,8247;-46,2559
9952;Pico do Piripau-Cambuquira;-21,8722;-45,3161
10625;Pico do Pontão;-21,077;-42,6293
11574;Pico do papagaio;-22,0389;-44,6496
9342;Pimenta;-20,5677;-45,876
8951;Pimenta - Furnas;-20,5837;-45,9042
9239;Pimenta - Rampa Leste;-20,5553;-45,8865
11363;Pimenta -Serra do Chapadao;-20,5364;-45,833
11553;Pinhão - MAR;-20,8645;-42,2227
9506;Piracaíba;-18,4361;-48,4459
9693;Pirangusu/MG;-22,5616;-45,4791
10220;Pirangusu/MG;-22,4773;-45,497
10144;Pirangusu/MG;-22,5391;-45,4971
9378;Plínio;-22,6646;-45,9827
10188;Pocos de Caldas;-21,8426;-46,672
11281;Pocos de Caldas;-21,763;-46,57
11691;Pocos de Caldas;-21,751;-46,558
9960;Pocos de Caldas;-21,729;-46,5925
10949;Ponte Alta de Minas;-20,7155;-42,2098
9889;Portal da Lua;-20,4505;-41,8764
9310;Pousada Rural;-22,1135;-46,1333
8834;Poços de Caldas;-21,7706;-46,5753
8949;Poços de Caldas;-21,7996;-46,5956
9752;Poços de Caldas;-21,7442;-46,5677
9233;Poços de Caldas -  South;-21,778;-46,5825
10815;Pé do Morro - P4 MG;-22,3237;-44,9346
11898;R,Nilson Werner - Alto Jequitibá;-20,4681;-41,938
11088;RAMPA CAPITOLIO;-20,6287;-46,0966
11364;RAMPA CAPUTIRA GIL E FIÉ;-20,2159;-42,2441
11174;RAMPA DA PEDRA BRANCA;-22,1737;-45,4276
10947;RAMPA DA SERRA DO CIPO;-19,1454;-43,5126
9791;RAMPA PIRAPANEMA;-21,0926;-42,5009
11639;RAMPA SUL PICO MACHADAO;-22,5874;-45,8147
10735;RICO BRITTO MONTES CLAROS;-16,5511;-43,7968
10514;RODRIGO;-22,017;-45,1739
10601;Ramoa Manhuaçu;-20,2875;-42,0696
10106;Ramp Carmo;-17,4334;-44,5609
11373;Ramp Vertentes in Carandaí MG;-20,9474;-43,7204
11358;Ramp of Hope;-19,5089;-42,0748
9261;Rampa Amazonia;-21,7528;-43,3996
11202;Rampa Desterro do Mello;-21,1717;-43,5557
11704;Rampa Dom Viçoso;-22,2662;-45,1609
9804;Rampa E/SE Carrancas;-21,4921;-44,5787
11911;Rampa Galo Preto;-19,4942;-43,4403
10335;Rampa Ipanema Raul Fonseca;-19,7491;-41,7348
9784;Rampa Norte de Carrancas;-21,4468;-44,6521
10730;Rampa Nova Sarandira;-21,84;-43,2407
8836;Rampa Oeste;-22,6013;-45,988
10212;Rampa Portal da Lua;-20,525;-41,8972
9765;Rampa Proibida-Cambuí;-22,6315;-46,1244
11720;Rampa Recanto do Vale;-21,6287;-43,2173
9894;Rampa SE Carrancas-MG Serra das Bicas;-21,479;-44,5689
