Nome;Latitude;Longitude
Tucanos;-20,4437;-41,8519
Tupaciguara;-18,4733;-48,5135
UBA;-21,0218;-42,9932
UBA;-20,1591;-44,2186
VALADARES GOVERNOR ;-19,1611;-42,0207
Vargem Alegre;-18,8384;-40,88
Vargem Fria ;-20,5797;-41,1342
Vargem Grande;-20,6654;-41,6577
Vargem Grande Formiga MG;-20,4842;-45,4423
Viana;-20,3191;-40,4905
Vidal Ramp Laginha;-19,1898;-40,7816
Vila Valerio;-18,9958;-40,2664
Vitoria;-20,3167;-40,35
Vulture hill;-20,3661;-40,4573
WEST LAUNCH MATIPO;-20,2961;-42,3554
WHITE HILL;-20,3857;-46,575
White Stone Takeoff;-22,2286;-45,4775
alto liberdade em marilandia;-19,3629;-40,5522
bebedouro;-19,4779;-40,0922
cordeiro;-19,5679;-42,3588
cristo de pouso alegre;-22,2563;-45,9312
falesia de tiradentes ;-21,087;-44,1667
feix launch;-19,6621;-43,2389
free flight ramp of Mutum;-19,8076;-41,4483
ilha do ar;-21,3228;-47,002
inhapim;-19,5008;-42,0652
lage;-20,5123;-44,7076
lagoa de linhares;-19,3145;-40,1208
lagoa dos ingleses;-20,2003;-43,9133
machados;-21,6814;-43,1315
moedao;-20,3501;-43,5956
monte agha;-20,8696;-40,7684
morrinho Araguari;-18,5397;-48,0469
morrinho sul;-22,1477;-46,046
morro alto formoso;-20,7327;-41,0583
morro antena uba;-20,6363;-41,0129
morro costa do paredao;-22,1926;-45,7614
morro da catarina;-20,258;-44,1749
morro das antenas;-20,5733;-41,0712
morro do Pituta;-22,6157;-45,7465
morro mirante do quilombo;-20,4742;-46,4805
morrote de colatina;-19,4982;-40,6236
morrote sul;-22,1398;-46,0507
mountain fortress;-20,8649;-46,7594
palestina;-20,4653;-45,1044
pedra do elefente ;-18,7692;-40,456
pico Ibituruna;-19,3501;-42,0964
piedade de cima ;-20,9403;-42,8965
pier na ventaca;-21,0055;-40,8061
piracaiba;-18,448;-48,4361
pirangucu;-22,5503;-45,4825
ramp Dona Marta;-20,0922;-44,1638
rampa caravagio;-19,9013;-40,6423
rampa da curva;-22,888;-46,3063
rampa da curva;-22,5914;-46,0244
rampa das agus;-21,9482;-45,3555
rampa de Unai;-16,3323;-46,9465
rampa do CANARINHO;-22,2113;-45,8472
rampa do CANARINHO;-22,1966;-45,7861
rampa do baiano;-21,7673;-46,5862
rampa do cruzeiro;-19,5446;-42,6677
rampa do engenho;-20,9929;-46,2435
rampa do engenho;-20,9979;-46,2523
rampa natural pedra pousada;-22,8909;-46,329
rampa santa barbara do leste ;-19,9681;-42,1172
rampa sao sebastiao do anta;-19,486;-41,9449
rampa sul parteli vila valerio;-18,958;-40,4125
rapadao da casa;-22,8713;-46,3212
sao domingos do prata;-19,8249;-42,9325
sao joao da mata;-21,9286;-45,9282
satelite;-19,8276;-43,1744
seara hill;-19,8592;-43,1827
serra da viuva;-19,3695;-42,5705
serra do chapeu;-20,7889;-46,0784
serra negra totem;-21,3071;-46,1191
takeoff Cruzeirinho;-20,3124;-42,0005
teste;-19,9797;-44,0218
vo cotinha;-22,5064;-45,6869
