;ID_voo;Data;kmOLC;Pontuacao_OLC;local_voo;duracao;Espaco_aereo;Piloto;Categoria;Vela;Data_Coleta;Voo_data_valido;Voo_rampa_valida
1928;671832;03/03/2023;2.3;4.56;Rampa de Lajinha do Pancas ;0:41;False;Mateus Haase;Sport Lite;Niviuk - Ikuma;2023-04-16;True;True
1929;642808;21/10/2022;3.0;4.53;Vila Val;1:53;False;Claudinei Inocente ;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1930;591150;12/03/2022;3.0;4.51;RICO BRITTO MONTES CLAROS ;0:07;False;Ruy Coelho ;Open;Niviuk - Evox;2023-04-16;False;True
1931;608311;04/06/2022;3.0;4.51;Pancas ;0:12;False;Higor Penitenti ;Sport Lite;Ozone - Rush 5;2023-04-16;False;True
1932;651197;26/02/2022;3.0;4.51;Alfredo Chaves ;0:17;False;Daniel Trevezani ;Sport;Gin - Bonanza 2 ;2023-04-16;False;True
1933;611822;21/05/2022;2.6;4.48;Rampa do Cruzeiro;0:08;False;Marlos Janutt;Open;Flow - Xc Racer;2023-04-16;False;True
1934;668776;28/01/2023;3.0;4.47;Santa Teresa ;0:11;False;Luiz Furbino;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
1935;651347;15/10/2022;2.2;4.47;Moedao BH ;0:14;False;Paulim Gogo;Open;Ozone - Zeno;2023-04-16;False;True
1936;649873;12/06/2022;3.0;4.47;Vila Val;0:06;False;Jefferson Felicio ;Sport Lite;BGD - Base 2;2023-04-16;False;True
1937;631418;28/08/2022;3.0;4.46;Vila Val;0:22;False;Claudinei Inocente ;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1938;651352;15/10/2022;3.0;4.45;Moedinha BH ;0:20;False;Paulim Gogo;Open;Ozone - Zeno;2023-04-16;False;True
1939;605275;01/05/2022;2.9;4.42;Mantena ;0:15;False;Eucleber Ferreira;Open;Sol - LT 1;2023-04-16;False;True
1940;609664;11/06/2022;2.9;4.4;Rampa de Lajinha do Pancas ;0:13;False;Leandro Schmidt;Sport;Ozone - Delta 3 ;2023-04-16;False;True
1941;651207;01/01/2020;2.9;4.36;Alfredo Chaves ;2:43;False;Daniel Trevezani ;Sport;Gin - Bonanza 2 ;2023-04-16;False;True
1942;652318;13/11/2022;2.9;4.36;Rampa de Lajinha do Pancas ;0:20;False;Vantuil Mataveli;Sport;Ozone - Delta 4;2023-04-16;False;True
1943;520510;06/06/2021;2.9;4.35;Pancas ;0:05;False;Jefferson Felicio ;Sport Lite;BGD - Base 2;2023-04-16;False;True
1944;641298;14/10/2022;2.9;4.35;Vila Val;0:31;False;Adelso Boecker;Open;Flow - Xc Racer;2023-04-16;False;True
1945;642810;16/10/2022;2.9;4.35;Rampa do Veinho ;0:09;False;Claudinei Inocente ;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1946;640856;10/10/2022;2.9;4.35;Vila Val;0:08;False;Claudinei Inocente ;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1947;527242;11/07/2021;2.9;4.34;Rampa mirante da princesa ;0:07;False;Helio Lima;Sport Lite;Skywalk - Chili 4;2023-04-16;False;False
1948;651341;08/10/2022;2.5;4.34;Moedao BH ;0:08;False;Paulim Gogo;Open;Ozone - Zeno;2023-04-16;False;True
1949;645607;05/11/2022;37.5;4.34;Itabira ;2:25;False;Hemerson Souza;Sport Lite;Swing - Nyos 2;2023-04-16;False;True
1950;651361;10/09/2022;2.9;4.33;Moed;0:21;False;Paulim Gogo;Open;Ozone - Zeno;2023-04-16;False;True
1951;669289;23/02/2023;2.9;4.32;Ramp of Hope ;0:10;False;Hemerson Souza;Sport Lite;Swing - Nyos 2;2023-04-16;False;True
1952;585041;06/03/2022;2.9;4.31;Baixo Guandu ;0:09;False;Helio Lima;Sport Lite;Skywalk - Chili 4;2023-04-16;False;True
1953;347484;29/04/2018;2.9;4.31;Goiapaba;0:15;False;Andre Stavrakas;Sport;Flow - Fusion;2023-04-16;False;True
1954;669555;25/02/2023;2.9;4.3;Afonso Claudio ;0:20;False;Valentin Tesch ;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
1955;681359;05/04/2023;2.9;4.28;Rampa de Lajinha do Pancas ;0:24;False;Mateus Haase;Sport Lite;Niviuk - Ikuma;2023-04-16;True;True
1956;670323;25/02/2023;2.8;4.24;Rampa de Lajinha do Pancas ;0:52;False;Mateus Haase;Sport Lite;Niviuk - Ikuma;2023-04-16;True;True
1957;644763;29/10/2022;2.4;4.21;Rampa de Lajinha do Pancas ;0:14;False;Bernardo Margotto;Sport;Advance - Sigma 10;2023-04-16;False;True
1958;642278;14/10/2022;2.8;4.21;Vila Val;0:26;False;Mateus Haase;Sport Lite;Niviuk - Ikuma;2023-04-16;False;True
1959;574859;23/01/2022;2.8;4.21;Pancas ;0:10;False;Vantuil Mataveli;Sport;Ozone - Delta 4;2023-04-16;False;True
1960;651367;06/11/2022;2.1;4.2;Moedao BH ;0:16;False;Paulim Gogo;Open;Ozone - Zeno;2023-04-16;False;True
1961;634601;19/08/2022;2.8;4.19;Vila Val;0:11;False;Marlos Janutt;Open;Flow - Xc Racer;2023-04-16;False;True
1962;643404;21/10/2022;2.8;4.18;Gavin Peak  ;0:16;False;Lucas Porto ;Open;Ozone - Zeolite GT;2023-04-16;False;False
1963;553553;17/10/2021;2.8;4.18;Baixo Guandu ;0:08;False;Helio Lima;Sport Lite;Skywalk - Chili 4;2023-04-16;False;True
